"TIME","GEO","UNIT","NA_ITEM","Value"
"2008","European Union - 28 countries","Current prices, euro per capita","Gross domestic product at market prices","26,100"
"2008","Belgium","Current prices, euro per capita","Gross domestic product at market prices","33,100"
"2008","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices","4,900"
"2008","Czechia","Current prices, euro per capita","Gross domestic product at market prices","15,500"
"2008","Denmark","Current prices, euro per capita","Gross domestic product at market prices","44,000"
"2008","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices","31,500"
"2008","Estonia","Current prices, euro per capita","Gross domestic product at market prices","12,300"
"2008","Ireland","Current prices, euro per capita","Gross domestic product at market prices","41,800"
"2008","Greece","Current prices, euro per capita","Gross domestic product at market prices","21,800"
"2008","Spain","Current prices, euro per capita","Gross domestic product at market prices","24,300"
"2008","France","Current prices, euro per capita","Gross domestic product at market prices","31,000"
"2008","Croatia","Current prices, euro per capita","Gross domestic product at market prices","11,200"
"2008","Italy","Current prices, euro per capita","Gross domestic product at market prices","27,600"
"2008","Latvia","Current prices, euro per capita","Gross domestic product at market prices","11,200"
"2008","Lithuania","Current prices, euro per capita","Gross domestic product at market prices","10,200"
"2008","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices","77,900"
"2008","Hungary","Current prices, euro per capita","Gross domestic product at market prices","10,800"
"2008","Netherlands","Current prices, euro per capita","Gross domestic product at market prices","39,400"
"2008","Austria","Current prices, euro per capita","Gross domestic product at market prices","35,300"
"2008","Poland","Current prices, euro per capita","Gross domestic product at market prices","9,600"
"2008","Portugal","Current prices, euro per capita","Gross domestic product at market prices","16,900"
"2008","Romania","Current prices, euro per capita","Gross domestic product at market prices","7,100"
"2008","Slovenia","Current prices, euro per capita","Gross domestic product at market prices","18,800"
"2008","Slovakia","Current prices, euro per capita","Gross domestic product at market prices","12,200"
"2008","Finland","Current prices, euro per capita","Gross domestic product at market prices","36,500"
"2008","Sweden","Current prices, euro per capita","Gross domestic product at market prices","38,300"
"2008","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices","32,100"
"2008","Iceland","Current prices, euro per capita","Gross domestic product at market prices","34,300"
"2008","Norway","Current prices, euro per capita","Gross domestic product at market prices","66,500"
"2008","Switzerland","Current prices, euro per capita","Gross domestic product at market prices","49,300"
"2008","Turkey","Current prices, euro per capita","Gross domestic product at market prices","7,300"
"2009","European Union - 28 countries","Current prices, euro per capita","Gross domestic product at market prices","24,500"
"2009","Belgium","Current prices, euro per capita","Gross domestic product at market prices","32,300"
"2009","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices","4,900"
"2009","Czechia","Current prices, euro per capita","Gross domestic product at market prices","14,200"
"2009","Denmark","Current prices, euro per capita","Gross domestic product at market prices","41,900"
"2009","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices","30,400"
