"TIME","GEO","AGE","UNIT","SEX","INDIC_EM","Value"
"2008","European Union - 28 countries","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","37.2"
"2008","Belgium","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","27.4"
"2008","Bulgaria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.3"
"2008","Czechia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","28.1"
"2008","Denmark","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","66.4"
"2008","Germany (until 1990 former territory of the FRG)","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","46.6"
"2008","Estonia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","35.9"
"2008","Ireland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","57.1"
"2008","Greece","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","23.5"
"2008","Spain","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","36.0"
"2008","France","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)",":"
"2008","Croatia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","28.0"
"2008","Italy","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.2"
"2008","Latvia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","37.0"
"2008","Lithuania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.0"
"2008","Luxembourg","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","23.8"
"2008","Hungary","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.2"
"2008","Netherlands","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","64.3"
"2008","Austria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","54.4"
"2008","Poland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","27.3"
"2008","Portugal","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","34.1"
"2008","Romania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.8"
"2008","Slovenia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","38.4"
"2008","Slovakia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.2"
"2008","Finland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","44.7"
"2008","Sweden","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","42.2"
"2008","United Kingdom","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","52.0"
"2008","Iceland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","71.7"
"2008","Norway","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","57.3"
"2008","Switzerland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)",":"
"2008","Turkey","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","30.3"
"2009","European Union - 28 countries","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","34.7"
"2009","Belgium","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.3"
"2009","Bulgaria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.8"
"2009","Czechia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.5"
"2009","Denmark","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","62.5"
"2009","Germany (until 1990 former territory of the FRG)","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","46.0"
"2009","Estonia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","28.3"
"2009","Ireland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","45.3"
"2009","Greece","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","22.8"
"2009","Spain","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","28.0"
"2009","France","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)",":"
"2009","Croatia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","27.1"
"2009","Italy","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","21.5"
"2009","Latvia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","27.5"
"2009","Lithuania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.6"
"2009","Luxembourg","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.7"
"2009","Hungary","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","18.1"
"2009","Netherlands","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","62.9"
"2009","Austria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","53.1"
"2009","Poland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.8"
"2009","Portugal","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","30.8"
"2009","Romania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.5"
